
We present the case of a man in his 40s (patient 1) with a prior history of persistent childhood diarrhoea and cognitive- developmental delay. The patient presented to our neurology outpatient clinic with a 10- year history of progressive gait impairment and recent episodes of falls. The patient has one healthy brother and three sisters, two of whom (labelled as patients 2 and 3) also manifested cognitive impairment—see figure 1. All impaired siblings reported cataract extraction before the age of 20. Patient 2 had previously complained of ankle swelling in an orthopaedic evaluation 15 years earlier and performed ankle- joint MRI, deemed inconclusive. On examination, all patients exhibited low stature, appendicular ataxia, pyramidal signs and broad- based ataxic gait. Patient 2’s lower limb examination also showed marked pes cavus, clawing of the toes and Achilles’ tendon xanthomas (figure 2A). Brain MRI sagittal T1- weighted image revealed cerebellar atrophy (figure 2B) and axial T2- weighted image displayed hyperintensities within the dentate nuclei (figure 2C) in patient 1. The combination of cerebellar ataxia, early- onset cataracts and tendon xanthomas prompted testing for serum cholestanol, which was significantly raised (patient 1: 119 µmol/L; patient 2: 120 µmol/L; patient 3: 84 µmol/L, N: 3.5–23.8 µmol/L).
early-onset cataracts	HP:0001118
cerebellar ataxia	HP:0001251
cognitive-developmental delay	HP:0001263
cerebellar atrophy	HP:0001272
pes cavus	HP:0001761
ankle swelling	HP:0001785
chronic diarrhea 	HP:0002028
ataxic gait 	HP:0002066
appendicular ataxia	HP:0002070
broad based gait	HP:0002136
falls	HP:0002527
low stature 	HP:0004322
progressive gait impairment	HP:0007240
pyramidal signs	HP:0007256
tendon xanthomas	HP:0010874
clawing of the toes	HP:0034397
cognitive impairment	HP:0100543
hyperintensities within the dentate nuclei	HP:6000416
elevated serum cholestanol	HP:6000527

7	
A 43-year-old Caucasian female experienced MCAS symptoms at age 18: specific foods and odours caused flushing, rashes, itching, wheezing, dizziness and nausea. At age 20, she noted problems with postprandial bloating/pain, constipation, evacuating stool and flatus with rotten egg odour. Restless legs syndrome (RLS) gradually developed. At age 23, she developed orthostatic lightheadedness and tachycardia, body pain, generalised weakness and painful dependent leg oedema. Ultimately, she suffered from 45 individual clinically significant symptoms (table 1). For 6 years, she became disabled owing to orthostatic symptoms, fatigue and body pain. Faecal evacuation resulted in syncope with efforts >3 min. Early satiety led to a liquid diet. Pressure-induced hives and angioedema, paraesthesia and nocturnal urination (seven times nightly) interfered with sleep. Over 16 years, 19 physicians failed to diagnose POTS and MCAS which were established at a second location of the Mayo Clinic. Supine pulse of 80 beats/min increased to 160 after standing 10 min. Facial rash and oedema, cold, blue hands, Terry’s fingernails and dermatographism were present. 
nocturia	HP:0000017
edema	HP:0000969
rash	HP:0000988
itching	HP:0000989
blue hands	HP:0001063
orthostatic lightheadedness	HP:0001278
syncope	HP:0001279
tachycardia	HP:0001649
Terry's fingernails	HP:0001820
nausea	HP:0002018
constipation	HP:0002019
dizziness	HP:0002321
postprandial bloating	HP:0003270
weakness	HP:0003324
parasthesia	HP:0003401
leg edema	HP:0010741
dermatographism 	HP:0011971
orthostatic tachycardia	HP:0012173
fatigue	HP:0012378
restless leg syndrome	HP:0012452
general pain 	HP:0012531
cold	HP:0025143
facial rash	HP:0025300
wheezing	HP:0030828
Flushing	HP:0031284
body pain	HP:0033047
early satiety	HP:0033842
angioedema	HP:0100665
pressure-induced hives	HP:0410134

8	
A full-term, 2710 g male infant was born at 39 weeks through spontaneous vaginal delivery. Routine antenatal ultrasounds found intrauterine growth restriction, left kidney agenesis, persistent left superior vena cava and suspicion of intestinal atresia. There was a history of polyhydramnios. Parents were not consanguineous and there was no relevant family history of congenital malformations on either parent’s side. At birth, Apgar scores were 5, 10 and 10 at 1, 5 and 10 min, respectively. Physical examination showed increased oral secretions, difficult breathing requiring supplemental oxygen through face-mask ventilation and abdominal distension. An orogastric tube could not be passed into the stomach, and a chest and abdominal X-ray diagnosed oesophageal atresia with distal tracheo-oesophageal fistula and intestinal obstruction, later confirmed during surgery. No other dysmorphic findings were present. Antibiotics were then started and a replogle tube was placed into the upper oesophageal pouch for continuous suctioning of the saliva. Vertebral defects, Anal atresia, Cardiac anomalies, Tacheo-Esophageal fistula, Renal anomalies, and Limb anomalies (VACTERL) workup included renal ultrasound, which confirmed renal agenesis, and echocardiography, thus revealing interventricular communication and patent ductus arteriosus. The patient underwent exploratory laparotomy, performed on the first day of life. Perioperative bronchoscopy confirmed a distal tracheo-oesophageal fistula. Laparotomy revealed gastric distension and a type IIIa ileal atresia with an intestinal perforation of the proximal ileal pouch and a microcolon. A gastrostomy and a diverting ileostomy were created. Due to clinical instability, the abdominal oesophagus was encircled by a silicone rubber 6F tube placed around the gastro-oesophageal junction simulating a Pringle manoeuvre. Additionally, both ends of the tube were brought through the abdominal incision to provide extracorporeal occlusion of the abdominal oesophagus, thus preventing aspiration and overdistension of the stomach due to the tracheo-oesophageal fistula. Eight days later, the patient underwent thoracoscopy and tracheo-oesophageal fistula closure, without primary oesophageal anastomosis due to a long-gap oesophageal atresia diagnosis. Postoperatively, the patient was kept on enteral feedings by gastrostomy and suctioning of the upper oesophageal pouch. A water-soluble contrast enema was performed on the 27th day of life to determine colon anatomy and revealed a non-fixed coiled microcolon in the right abdominal quadrants. A daily saline rectal enema was then initiated to enlarge the colon. Subsequently, an ileocaecal anastomosis was performed at 7 weeks of life; a microcolon was still present.
renal agenesis 	HP:0000104
left renal agenesis	HP:0000122
Intrauterine growth restriction 	HP:0001511
polyhydraminios	HP:0001561
patent ductus arteriosus	HP:0001643
esophageal atresia	HP:0002032
difficulty breathing 	HP:0002094, HP:0002098
tracheo-esophageal fistula	HP:0002575
abdominal distention	HP:0003270
increased oral secretions	HP:0003781
microcolon	HP:0004388
intestinal obstruction	HP:0005214
persistent superior vena cava	HP:0005301
intestinal atresia	HP:0011100
ileal atresia	HP:0011102
interventricular communication 	HP:0011621
intestinal perforation	HP:0031368
tracheo-esophageal atresia	HP:0100682

9	
A 7-year-old female child was brought with complaints of tightness of skin since the past 1 year, starting on the lower limbs and gradually progressing to involve the whole body. Joint contractures resulting in severe disability were present since 5 months. She had no history of trauma or vaccination. There was no personal or family history of autoimmune disease, Raynaud's phenomenon, difficulty in swallowing, or retrosternal burning pain. On examination, there was generalized sclerosis of the skin involving the extremities, trunk, and face. Dyspigmented sclerotic plaques, few of them crusted, were seen all over the body. Her limbs were fixed by contractures to an extent that she could not walk [Figures ​[Figures11 and ​and2].2]. Chest expansion was reduced due to chest wall sclerosis. There was bilateral lagophthalmos and ectropion. Scars of previous healed ulcerations were seen on legs. Investigations showed hemoglobin of 7.1 g/dl and erythrocyte sedimentation rate of 53 mm in the first hour. Anti-nuclear antibody was positive (1:80, speckled pattern), anti-dsDNA and anti Scl-70 antibodies were negative. Chest radiograph and high resolution computed tomography-thorax were normal. Barium swallow showed evidence of gastroesophageal reflux. Pulmonary function test was not possible as patient was unable to blow. Radiographs of the limb bones were normal. Histopathology showed a sclerotic dermis with tightly packed collagen fibers, sclerosis involving the deeper layers of subcutaneous tissue and fascia with marked reduction of skin adnexae and a small amount of lymphohistiocytic inflammatory infiltrate. Patient was started on tablet methotrexate 7.5 mg/week. However, after 3 months, as there was no improvement, inj. methylprednisolone 15 mg/kg intravenously as a pulse for 3 consecutive days was added. The condition of the patient continued to deteriorate with increasing sclerosis, most evident in periorbital area [Figure 3], development of recalcitrant cutaneous ulcers, and cicatricial alopecia over scalp. Meanwhile, she started developing cyanotic discoloration of the digits of the right foot [Figure 4]. On evaluation, patient was found to have thrombosis of right dorsalis pedis artery. A normal 2D echocardiography ruled out a cardiac source. Heparin followed by oral warfarin, aspirin, and clopidogrel failed in preventing gangrene and autoamputation of the 2nd right toe. At this time, PUVA with 8-methoxypsoralen was started. However, she could take only 2 sittings before succumbing due to septicemia.
periorbital sclerosis 	HP:0000606
ectropion	HP:0000656
joint contractures	HP:0001371
"anemia"	HP:0001903
"gastroesophageal reflux"	HP:0002020
thrombosis of right doralis pedis artery	HP:0002641
joint contractures	HP:0002828
"positive anti-nuclear antibody"	HP:0003493
"elevated erythrocyte sedimentation rate"	HP:0003565
"cicatricial alopecia"	HP:0004552
chest wall sclerosis 	HP:0006596, HP:0000765
autoamputation of toe	HP:0007460
skin adnexae	HP:0011138, HP:0025276
"sclerosis involving the deeper layers of subcutaneous tissue and fascia"	HP:0012344
lagopthalmos	HP:0030001
lymphohistocytic inflammatory infiltrate	HP:0031190
dyspigmented sclerotic plaques	HP:0031359
peripheral cyanosis 	HP:0034033
skin sclerosis 	HP:0100324, HP:0012344
skin tightness	HP:0100679
scars from healed ulcers	HP:0100699
gangrene	HP:0100758
septicemia	HP:0100806
crusted plaques	HP:0200035
"recalcitrant cutaneous ulcers"	HP:0200042

10
A male neonate was born at 35+4 weeks gestation with an unusual and distinctive appearance (figure 1). His skin was extremely thick and taut (hyperkeratotic), yellow and split by deep fissures into plates, resembling a harlequin jester costume. The digits of his hands and feet were fused and flexed, encased in thick shiny skin. The sclera was occluded by severe ectropion and chemosis. He had marked eversion of the lips, eclabium. The pinnae and nostrils were rudimentary and bound down. He was pink and well perfused and required no resuscitative intervention. The paediatric team reviewed and transferred him to the neonatal unit. There was no family history of ichthyosis. His parents are consanguineous, second cousins, originally from Pakistan. His mother had gestational diabetes requiring insulin. The couple has two older boys who are healthy. On the neonatal unit, the diagnosis of congenital harlequin ichthyosis was suspected and confirmed by a Paediatric Dermatologist on reviewing photographs. Full supportive care, which included an intensive emollient and skin care regime and protein supplements, was initiated. Oral acitretin was commenced on day 3 of life and continues to this day. After a 29-day stay on the unit, he was discharged to the care of his family and community healthcare team, with ongoing multidisciplinary team (MDT) support. Now 12 years old, his skin remains intensely erythematous with generalised scaling but his eyes and ears are much improved. He has persistent ectropion, epiphora (tear spillage) and myopia. However, despite his hypoplastic pinnae, his hearing is normal. His digits remain flexed and he has lost the tips of two fingers. He has extensive scarring alopecia and minimal sweating ability which leads to heat intolerance. He attends mainstream school with the help of a classroom assistant and retains the support of an MDT, including paediatrics, dermatology, ophthalmology, ear, nose and throat (ENT), physiotherapy, dietetics and children’s community nursing.
"myopia",	HP:0000545
ectropion	HP:0000656
yellow skin	HP:0000952
hyperkeratosis	HP:0000962
minimal sweating 	HP:0000966
erythematous skin 	HP:0001019
Thick skin	HP:0001072
heat intolerance 	HP:0002046
scarring alopecia	HP:0004552
harlequin icthyosis 	HP:0007431
hypoplastic pinnae	HP:0008551
rudimentary nose 	HP:0009924
epiphora	HP:0009926
chemosis	HP:0012375
eversion of lips 	HP:0012472
flexed digits	HP:0030044
deep skin fissures	HP:0031057
scaling skin 	HP:0040189
fused digits	HP:0100262
rudimentary ears 	HP:0100720

11
A 22-year-old girl, presented to us with a history of progressive knee deformity and difficulty in walking of 5 years duration. She was born of consanguineous marriage at term by normal vaginal delivery, third in birth order with two normal sibs. She was noticed to have collodion membrane at birth which was shed within 48 h to be followed by generalised erythema and fish-like scaly skin lesions which persisted in the subsequent years. She was also noticed to have a negligible sweating from childhood. She was immunised appropriately and developmental milestones were normal. She was average in scholastic performances but dropped out from school in the 9th standard due to social disfigurement and used to stay mostly indoors limiting average daily sun exposure to around 15 min during winter and almost negligible during summer. Her menstrual history was normal. Since 17 years of age she started having pain in both the knees with difficulty in walking, climbing stairs and rising up from squatting position. Gradually she noticed valgus deformity of the knees involving initially the right and then the left within a period of 6 months. She also complained of mild burning sensation and grittiness of her eyes since 14 years of age associated with mild difficulty in hearing and right ear discharge. There was no history of trauma to the knees, fractures, chronic diarrhoea or steatorrhoea suggestive of malabsorption or any history of renal disorder. Dietary history revealed adequate intake of foods rich in calcium and vitamin D. There was no family history of similarly affected individuals. Treatment history included various topical applications like glycerine and urea cream since childhood and intermittent oral retinoid therapy for the past 3 years. Examination revealed a height of 153 cm (25th–50th percentile), weight of 40 kg, (5th–10th percentile), body mass index of 17.09, upper segment:lower segment ratio of 1.23 and an arm span of 153 cm. Mid-parental target height was 156 cm. Large fine grey scales were seen mostly on trunk and limbs with minimal involvement of face and sparing of palms and soles (figure 1). Dandruff was present and mucosal surfaces and teeth were normal. She had bilateral madarosis on lateral aspects. There was bilateral genu valgum with intermalleolar distance of 7.5 inches (figure 2A). Routine investigations including serum creatinine and blood gas analysis were normal. Serum thyroid stimulating hormone was 2.17 µIU/ml, serum calcium: 8.8 (8.5–10.2) mg/dl, serum phosphorus: 3.2 (2.5–4.5) mg/dl, serum albumin: 4.1 gm/dl, serum alkaline phosphatase: 485 (38–126) U/l, 25-hydroxy-vitamin D: 9.12 ng/ml (deficiency <20 ng/ml), serum parathyroid hormone (PTH): 68.8 (14–72) pg/ml. Radiographs showed valgus deformity of both knees (figure 2B) with thinned out cortex. A dexa scan was done which revealed a T score of −2.1 at the lumbar spine suggestive of osteopenia and a T score of −0.8 at the hip. Skin biopsy revealed mild-to-moderate epidermal acanthosis with a well-formed, focally thickened granular layer and thick laminated bright pink ‘ichthyotic’ stratum corneum, features consistent with lamellar ichthyosis (figure 3). Ophthalmological evaluation revealed superficial punctuate keratitis bilaterally (figure 4). She was also found to have chronic suppurative ottitis media bilaterally with central perforation on right. Pure tone audiometry revealed bilateral conductive hearing loss. Dermatology opinion was taken and she was started on oral retinoids and topical emollients.
chronic suppurative otitis media 	HP:0000389
osteopenia	HP:0000938
negligible sweating	HP:0000966
generalized erythema	HP:0001019
dandruff	HP:0001051
progressive knee deformity 	HP:0002857
high alkaline phosphatase	HP:0003155
short stature	HP:0003508
progressive knee deformity	HP:0006409
large fine grey scales on trunk and limbs	HP:0007438
collodion membrane	HP:0007479
conductive hearing loss	HP:0008513
collodion membrane at birth	HP:0011409
bilateral madrosis	HP:0011457
superficial punctuate keratitis 	HP:0011859
mild difficulty in hearing	HP:0012712
epidermal acanthosis	HP:0025092
bilateral knee pain	HP:0030839
perforated eardrum	HP:0040090
fish-like scales	HP:0040189
large fine grey scales	HP:0040190
low BMI	HP:0045082
grittiness of the eyes	HP:0200026
ear discharge	HP:0410017
mild burning sensation of the eyes	HP:6000420

12
A male patient in his late 70s who was a known case of hypertension and controlled with indapamide was seen at our facility. His medical history included a postspinal tumour that had been treated with surgery and radiation more than 40 years ago and had a residual left-sided hemiplegia. He presented to the otolaryngology clinic at Al-Hada Armed Forces Hospital having right ear pain and purulent discharge. His pain had started 6 months before presenting to the clinic and was constant and progressive since then. The pain was associated with a bilateral decrease in hearing for a long time. Local right ear examination revealed a right ear soft granular tissue mass occupying the right EAC mainly in the posterior wall of the canal with bleeding on touch. The right tympanic membrane could not be visualised. The first clinical impression was otitis externa after which a culture was taken from the discharge. The patient was managed with betamethasone and fucidin and given an appointment to assess the response to local medications. By the time of the follow-up appointment, the culture showed no growth; however, the patient did not improve, and right ear otalgia and the purulent discharge had increased in severity. An examination revealed an oedematous canal with pus and a non-visible tympanic membrane.
bilateral decreased hearing 	HP:0000365
edematous ear canal	HP:0000372
hypertension	HP:0000822
postspinal tumour	HP:0006751
bleeding on touch	HP:0011889
granular mass in EAC 	HP:0012780
right ear pain 	HP:0030766
"non-visible tympanic membrane"	HP:0040090
left-sided hemiplegia	HP:0040292
otitis externa	HP:0410017

13	
We present a 33-year-old woman, without family history of TSC, with clinical diagnosis of TSC since 12 years old. A mutation in TSC2 gene was detected later. She had dermatological (facial angiofibromas and subungual fibromas), neurological (SEGA), renal (angiomyolipomas) and pulmonary (lymphangioleiomyomatosis) involvement, and was in period of reduction the dose of levetiracetam because she was considering to get pregnant. She did not take any mTOR inhibitor medication for the same reason. She presented complaints of reduced visual acuity, horizontal binocular diplopia and right eye (RE) esotropia, for the last 3 days. She denied headache, vomiting or nausea. The neuro-ophthalmological examination revealed: right abducens nerve palsy, best-corrected visual acuity (BCVA) of 7/10 in the RE and 8/10 in the left eye (LE), and in the ocular fundus signs of pale oedema of both optic discs and lesions consistent with retinal hamartomas bilaterally.
esotropia	HP:0000565
diplopia	HP:0000651
optic disk edema	HP:0001085
angiomyolipomas	HP:0006772
right abducens nerve palsy	HP:0006897
reduced visual acuity	HP:0007663
bilateral retinal hamartomas	HP:0009594
SEGA	HP:0009718
facial angiofibroma	HP:0009720
subungal fibroma	HP:0009724
lymphangioleiomyomatosis	HP:0012798

14	
A non-smoking 57-year-old female presented with long-standing mild dyspnea and dry cough. Her medical history was remarkable for a subcutaneous right cervical nodule which corresponded pathologically to a neurofibroma. There were no other signs for type 1 neurofibromatosis as she had no family history of neurofibromatosis, no «café au lait» macules, no axillary or groin freckling, no plexiform neurofibroma, no cutaneous/subcutaneous neurofibroma and no Lisch nodules. Genetic testing for the Neurofibromin 1 (NF1) gene mutations was negative. MRI of the brain, spine and pelvis was normal, except for the right cervical neurofibroma measuring 4.5 cm in greatest diameter. Pulmonary function tests showed no obstructive or restrictive pattern. The chest radiograph demonstrated enlargement of the upper mediastinum with bilateral non-cavitating lobulated opacities (figure 1). Thoracic CT scan showed multiple bilateral round and non-compressive nodules and masses in the superior, anterior and posterior mediastinum, along with mediastinal lymphadenopathies (figure 2).
neurofibroma	HP:0001067
subcutaneous right cervical nodule	HP:0001482
long standing dyspnea	HP:0002094
right cervical neurofibroma	HP:0006751
dry cough 	HP:0031246
multiple bilateral round and noncompressive nodules in mediastinum	HP:0033823
upper mediastinum enlargement	HP:0034501
mediastinal lymphadenopathaties.	HP:0100721

15	
A 22-year-old illiterate farmer who was psychologically subdued due to social ridicule reported to our hospital in January 2010 with reports of severe pain and discharge from his left eye since the past 15 days. Further detailed history revealed a progressively increasing hard swelling in his left lower lid since 10 years associated with proptosis, since 5 years. On general examination an irregular, hard lesion of 4×5 cm was present in the left inferior orbital region (figure 1A–C), a cystic swelling of 6×7 cm in the left high parietal region and another similar one of 3×4 cm in the lower lumbar region. In addition, two firm swellings of 1×1 cm in the right paraorbital region and a 2×2 cm in the right forearm were concomitantly present. On ophthalmological examination, corneal opacity and parapapillary atrophy was present (figure 2A, B). On the basis of these findings, a presumptive diagnosis of GS was made. Moving on the same track the per abdominal examination was found to be normal and on repeated probing no abnormality was detected apart from a history of his father's death due to some unknown abdominal condition.
proptosis	HP:0000520
firm swellings in right paraorbital region	HP:0000629
corneal opacity	HP:0007957
irregular hard lesion of left inferior orbital region	HP:0011355
Severe pain	HP:0012531
hard swelling in lower lid 	HP:0012568
discharge from left eye 	HP:0034427
parapalillary atrophy 	HP:0500087
swelling of right forearm	HP:6000840

16	
A 40-year-old woman hailing from a village in eastern India presented with a 6-year history of generalised asymptomatic pigmentary skin alterations. Her medical history was significant for diabetes mellitus for which she was on oral hypoglycaemic agent for past 4 years. She had no history of any pre-existing dermatoses. She reported that some of her village neighbours also had similar cutaneous ailments. None of her immediate family members were affected. The primary source of drinking water in her village was a deep tube well. She had previously been treated by the village quack without any improvement. Examination revealed multiple, discrete, guttate hypopigmented macules (2–4 mm) symmetrically dispersed over a hyperpigmented background that involved the trunk and extremities giving a ‘raindrop’ appearance (figure 1). Few well-demarcated brownish scaly plaques with irregular border were noted over back, abdomen and dorsum of right hand. Histopathology of one such excised lesion reported Bowen’s disease. Multiple keratotic papules over palms and soles with gritty sensation on palpation were also noted (figure 1B). Other mucocutaneous sites were unaffected. Systemic examination did not reveal any abnormality. Basic laboratory investigations only revealed mild anaemia. The clinical diagnosis of chronic arsenicosis was further established by markedly elevated arsenic levels in hair, nail and drinking water samples. She was counselled to avoid arsenic-contaminated tube well water. Palmoplantar hyperkeratosis substantially flattened over 3 months with regular use of keratolytic ointment. Topical 5% 5-fluorouracil for lesions of bowen’s disease led to improvement. No new-onset cutaneous premalignant or malignant transformation was noted on routine follow-ups.
diabetes mellitus                    	HP:0000819
hyperpigmented skin                 	HP:0000953
palmoplantar hyperkeratosis 	HP:0000972
asymptomatic pigmentary alterations	HP:0001000
mild anemia	HP:0001903
bowen's disease	HP:0006739
guttate hypopigmented macules	HP:0020073
chronic arsenicosis  	HP:0032450
keratotic papules over palms and soles 	HP:0045059
brownish scaly plaques with irregular border	HP:0200035

17	
